Data Inserção;Tipo Entrega;Pedido;Data Nfe;Serie Nfe;Número Nfe;Valor Nfe;Qtd. Volumes;Peso;Remessa;Nome Destinatário;Endereço Completo;CEP;Cód. CD;CD;CNPJ/CPF Dest.;Transportador;Lead Time;Data Prev. Entrega;Status Prazo;ID Últ. Ocr.;Última Ocorrência;Chave Últ. Ocr.;Data Última Ocr.;Agrupador;Endereço;Numero;Bairro;Cidades;UF;Etiquetas;Chegada na Transportadora;Cod. Vendedor;Chave NFe
15/02/2025 23:47:31;NATURA CN;73667028;28/02/2025 00:00:00;001;3701131;137.89;2;1.06;83617348285;Pedro Lucas Silveira;Favela Gomes, 704;20484078;8904;de Minas;94.708.321/0001-99;Santos e Filhos;4;20/03/2025 00:00:00;Finalizado No Prazo;376;Entrega Realizada;3;22/02/2025 00:00:00;non;Via Sofia da Costa;493;São Paulo;Almeida de Minas;RO;;17/02/2025 00:00:00;130662;461189694053654
02/01/2025 03:19:46;NATURA CN;51519521;12/03/2025 00:00:00;001;29869118;473.09;1;3.49;97041486098;Ana Sophia Castro;Estação Freitas, 73;59434621;1356;do Amparo;43.918.052/0001-54;Nogueira Cavalcanti e Filhos;4;06/03/2025 00:00:00;Atrasado;691;Entrega Realizada;2;07/01/2025 00:00:00;et;Setor Rodrigues;515;Renascença;da Rocha do Campo;PR;;06/02/2025 00:00:00;755273;634104900155087
27/01/2025 03:23:09;AVON;18865334;28/02/2025 00:00:00;001;42186356;428.53;3;2.55;38044439424;Sr. Nathan Pires;Praia Joana Teixeira, 8;96960-851;4844;das Pedras;80.536.941/0001-83;Costa;2;30/01/2025 00:00:00;Atrasado;253;Entrega Realizada;2;23/01/2025 00:00:00;nam;Ladeira Moreira;324;Cachoeirinha;Pinto da Mata;ES;;18/02/2025 00:00:00;722019;245470455272230
06/03/2025 00:02:40;NATURA RN;8254006;30/01/2025 00:00:00;001;10909397;302.66;3;3.2;36563836517;Benjamin da Mota;Sítio Jesus, 1;20901484;7806;de Minas;56.207.849/0001-95;Barros;8;05/03/2025 00:00:00;Atrasado;237;Em Rota;2;11/02/2025 00:00:00;sint;Avenida de da Costa;789;Santa Terezinha;Ferreira Verde;TO;;26/02/2025 00:00:00;285682;74153024973690
08/03/2025 23:32:36;AVON;79408078;05/03/2025 00:00:00;001;50698064;42.38;1;0.96;66666661810;Felipe Lopes;Condomínio Luana Rodrigues, 36;32523-708;3912;Grande;35.047.182/0001-30;Nascimento;2;06/03/2025 00:00:00;No Prazo;886;Saiu para Entrega;2;18/03/2025 00:00:00;veritatis;Largo de da Conceição;785;Vila Betânia;Souza;AC;;16/02/2025 00:00:00;625392;750758171538843
01/01/2025 14:07:31;AVON;61292305;20/03/2025 00:00:00;001;45746871;382.54;1;0.14;63659628729;Sr. Pedro Henrique Gonçalves;Setor Vitória Moura, 790;09866212;1933;do Oeste;50.649.218/0001-40;Cavalcanti Cavalcanti - EI;6;19/03/2025 00:00:00;No Prazo;639;Em Rota;1;13/03/2025 00:00:00;odio;Passarela Renan Costa;685;Vila Fumec;Campos de Nunes;AP;;27/03/2025 00:00:00;530185;886502212099618
23/01/2025 05:55:19;NATURA RN;17722362;14/02/2025 00:00:00;001;24903239;55.96;1;0.84;64503429677;Evelyn Moura;Praia Melo, 12;07396-040;7148;Alegre;32.408.175/0001-29;Pinto;4;28/02/2025 00:00:00;No Prazo;828;Em Rota;2;07/01/2025 00:00:00;laudantium;Trevo Levi Moreira;191;Milionario;Silva das Pedras;SE;;06/01/2025 00:00:00;62096;177480162436167
10/02/2025 14:13:13;NATURA RN;66481346;26/01/2025 00:00:00;001;78184858;490.19;1;3.82;52426291649;Luana Duarte;Viela de Souza, 72;11108-788;7546;dos Dourados;13.842.670/0001-05;Farias S/A;6;31/01/2025 00:00:00;No Prazo;340;Entrega Realizada;2;05/03/2025 00:00:00;voluptatibus;Jardim de da Conceição;214;Nova Floresta;Ferreira;TO;;12/01/2025 00:00:00;837526;321705878034583
25/03/2025 10:37:14;AVON;58816800;05/02/2025 00:00:00;001;64882490;415.64;1;4.03;76474202211;Rodrigo Barros;Ladeira Lavínia Jesus, 2;82723365;3976;da Serra;98.421.657/0001-27;Aragão Almeida - ME;1;01/02/2025 00:00:00;Finalizado No Prazo;385;Saiu para Entrega;3;26/03/2025 00:00:00;esse;Viaduto de Pinto;365;Sion;da Paz;PI;;03/03/2025 00:00:00;639683;319194259736297
15/01/2025 10:31:01;AVON;86435441;25/03/2025 00:00:00;001;66345908;292.75;1;1.72;99170004116;Vitor Alves;Avenida de Ferreira, 7;59709-521;5989;de Goiás;32.459.786/0001-04;Nascimento;5;17/03/2025 00:00:00;No Prazo;501;Em Rota;1;13/02/2025 00:00:00;sunt;Esplanada de Fernandes;46;Cachoeirinha;Castro;RN;;24/01/2025 00:00:00;444122;550178928507705
