Data Inserção;Tipo Entrega;Pedido;Data Nfe;Serie Nfe;Número Nfe;Valor Nfe;Qtd. Volumes;Peso;Remessa;Nome Destinatário;Endereço Completo;CEP;Cód. CD;CD;CNPJ/CPF Dest.;Transportador;Lead Time;Data Prev. Entrega;Status Prazo;ID Últ. Ocr.;Última Ocorrência;Chave Últ. Ocr.;Data Última Ocr.;Agrupador;Endereço;Numero;Bairro;Cidades;UF;Etiquetas;Chegada na Transportadora;Cod. Vendedor;Chave NFe
08/03/2025 20:28:23;NATURA RN;67019270;14/02/2025 00:00:00;001;1755556;234.82;2;4.16;20642476258;Isabel Souza;Viaduto Noah Oliveira, 746;75886-628;2408;da Mata;26.174.890/0001-41;Fogaça S.A.;4;29/01/2025 00:00:00;Finalizado No Prazo;958;Em Rota;1;13/02/2025 00:00:00;aut;Praça Silva;213;Lagoa;Santos;CE;;22/02/2025 00:00:00;562975;865951462702431
26/02/2025 17:43:05;NATURA RN;36115476;10/03/2025 00:00:00;001;71211269;119.78;3;0.41;47271878705;Elisa Novaes;Vale Alana Mendes, 85;79925831;8906;do Amparo;08.372.546/0001-85;Cardoso;6;08/03/2025 00:00:00;No Prazo;786;Entrega Realizada;2;02/02/2025 00:00:00;voluptas;Setor Ramos;920;São Jorge 3ª Seção;Silveira das Pedras;MT;;05/03/2025 00:00:00;240820;956189136909634
01/01/2025 04:19:57;NATURA RN;49574790;12/03/2025 00:00:00;001;19579277;446.53;1;2.07;39730854977;Anthony da Paz;Praça Vitor Fogaça, 1;14704347;2008;Verde;45.386.270/0001-10;Fogaça Costela S.A.;8;25/01/2025 00:00:00;Finalizado No Prazo;226;Saiu para Entrega;3;18/02/2025 00:00:00;sunt;Área de Ramos;86;Milionario;Monteiro;SP;;09/01/2025 00:00:00;187794;631538928636811
25/01/2025 22:00:20;NATURA RN;21365085;28/03/2025 00:00:00;001;9126353;74.7;1;2.37;3348455188;Sophia da Mota;Residencial Elisa Cardoso, 53;52783257;3197;Paulista;21.573.046/0001-70;Souza Araújo S.A.;5;16/02/2025 00:00:00;Atrasado;635;Entrega Realizada;3;21/01/2025 00:00:00;maxime;Área Rodrigues;173;Das Industrias I;Cardoso das Flores;PR;;14/01/2025 00:00:00;621242;763899924547278
03/01/2025 16:33:04;NATURA CN;15287252;27/03/2025 00:00:00;001;6433020;86.21;3;3.61;61859707778;Daniela Castro;Vale Mendes, 48;47719759;9164;de Goiás;03.172.586/0001-60;Costela;2;30/01/2025 00:00:00;No Prazo;463;Entrega Realizada;3;14/03/2025 00:00:00;ex;Favela Mendes;946;Santa Rita;Sales;AC;;20/01/2025 00:00:00;886003;770175184243303
07/02/2025 20:55:01;NATURA CN;59725545;12/01/2025 00:00:00;001;46503572;279.46;1;2.07;49449282728;Anthony Santos;Campo de Correia, 5;29106065;5270;da Prata;52.679.841/0001-70;da Mata;6;09/03/2025 00:00:00;Finalizado No Prazo;207;Entrega Realizada;3;29/01/2025 00:00:00;cumque;Setor de da Rosa;35;Das Industrias I;Vieira;RS;;25/01/2025 00:00:00;545665;120819488431047
03/03/2025 11:08:54;NATURA RN;73509019;20/02/2025 00:00:00;001;82222460;282.57;1;3.69;25975829899;Catarina Cavalcanti;Vila Aragão, 65;72427-361;9794;da Mata;70.519.386/0001-28;Ferreira;1;28/01/2025 00:00:00;Atrasado;329;Saiu para Entrega;1;14/03/2025 00:00:00;debitis;Sítio Caldeira;178;São Jorge 2ª Seção;Pires;RR;;21/01/2025 00:00:00;611451;75687454159716
16/02/2025 23:08:10;NATURA RN;2000374;26/01/2025 00:00:00;001;68981358;333.95;3;3.31;56502455009;Lívia Costa;Avenida de Azevedo, 60;19597-148;1839;das Pedras;41.389.207/0001-87;Moreira da Mata - ME;7;09/02/2025 00:00:00;Finalizado No Prazo;819;Saiu para Entrega;1;24/02/2025 00:00:00;dolorum;Estação Joana da Costa;775;Vista Do Sol;Cardoso do Amparo;SP;;28/03/2025 00:00:00;127490;121293697991950
06/02/2025 14:25:16;AVON;30234728;31/01/2025 00:00:00;001;54286172;392.73;3;0.73;72041497071;Vitor Silva;Quadra Yago Nogueira, 10;10669-887;2862;da Praia;85.796.421/0001-23;Moura;6;10/03/2025 00:00:00;No Prazo;187;Entrega Realizada;2;20/02/2025 00:00:00;fugiat;Chácara Lopes;491;Conjunto Taquaril;Cardoso de Nunes;MA;;12/02/2025 00:00:00;994325;135010066184370
16/02/2025 11:29:51;AVON;76927314;12/01/2025 00:00:00;001;68832321;430.12;2;3.32;27666181241;Maria Luiza Moura;Alameda Porto, 85;68703621;9589;da Serra;45.682.073/0001-49;da Cunha;3;06/01/2025 00:00:00;Finalizado No Prazo;861;Saiu para Entrega;2;04/01/2025 00:00:00;non;Distrito de Vieira;452;São Jorge 2ª Seção;Rezende de Minas;CE;;08/02/2025 00:00:00;562046;46412254801069
