Data Inserção;Tipo Entrega;Pedido;Data Nfe;Serie Nfe;Número Nfe;Valor Nfe;Qtd. Volumes;Peso;Remessa;Nome Destinatário;Endereço Completo;CEP;Cód. CD;CD;CNPJ/CPF Dest.;Transportador;Lead Time;Data Prev. Entrega;Status Prazo;ID Últ. Ocr.;Última Ocorrência;Chave Últ. Ocr.;Data Última Ocr.;Agrupador;Endereço;Numero;Bairro;Cidades;UF;Etiquetas;Chegada na Transportadora;Cod. Vendedor;Chave NFe
16/02/2025 11:35:12;NATURA RN;80293953;10/01/2025 00:00:00;001;8659609;407.61;1;1.82;62788390637;Rebeca Gomes;Vila de Nunes, 20;28652-514;7381;Verde;12.380.647/0001-75;Aragão;8;01/01/2025 00:00:00;Atrasado;746;Entrega Realizada;2;27/01/2025 00:00:00;libero;Distrito de da Costa;181;João Pinheiro;Porto do Oeste;TO;;05/03/2025 00:00:00;388700;623699986452245
08/03/2025 11:24:32;NATURA CN;90371256;08/01/2025 00:00:00;001;45361000;408.46;2;3.69;26947750023;Sr. Ryan Nunes;Colônia de Martins, 48;53533-664;1786;da Mata;05.346.719/0001-00;das Neves Jesus - EI;5;20/02/2025 00:00:00;No Prazo;501;Entrega Realizada;2;12/02/2025 00:00:00;praesentium;Trevo de Martins;883;Vila Da Luz;Ribeiro do Oeste;RS;;12/01/2025 00:00:00;874006;16268185578852
23/01/2025 16:51:32;NATURA CN;23692630;03/02/2025 00:00:00;001;75148616;283.01;3;2.48;4430297912;Lavínia Viana;Recanto Ramos, 582;28669136;5190;Verde;74.021.836/0001-09;Costa S.A.;4;05/01/2025 00:00:00;Finalizado No Prazo;543;Entrega Realizada;2;18/02/2025 00:00:00;quibusdam;Estrada de Pires;300;Alto Dos Pinheiros;Castro;MA;;05/03/2025 00:00:00;825575;656172445680675
23/02/2025 22:25:23;AVON;55491237;11/03/2025 00:00:00;001;84264994;252.47;2;3.87;59397071197;Emilly Carvalho;Loteamento das Neves;58320-956;1270;dos Dourados;75.289.140/0001-20;Campos;3;29/01/2025 00:00:00;No Prazo;120;Entrega Realizada;2;03/02/2025 00:00:00;nesciunt;Residencial Melissa Duarte;25;Conjunto Santa Maria;Peixoto;RS;;18/03/2025 00:00:00;494139;100313083867322
29/01/2025 12:13:51;NATURA RN;3586823;20/01/2025 00:00:00;001;89295393;86.09;2;0.52;81918802787;Maysa Teixeira;Morro Souza, 186;92199666;6204;das Pedras;43.586.219/0001-27;Costa Barbosa - EI;6;17/01/2025 00:00:00;Finalizado No Prazo;225;Em Rota;1;03/03/2025 00:00:00;ut;Avenida da Mota;810;Funcionários;da Mata;SC;;15/02/2025 00:00:00;57193;346100819735340
30/01/2025 16:50:23;NATURA RN;71307449;22/03/2025 00:00:00;001;47252168;209.02;1;2.43;93665745011;Pietra da Rocha;Colônia Sabrina Cunha, 52;49251225;7785;da Praia;82.457.013/0001-59;da Rocha Cardoso S.A.;4;01/02/2025 00:00:00;No Prazo;565;Em Rota;2;09/03/2025 00:00:00;et;Loteamento de Peixoto;383;Marieta 1ª Seção;Carvalho de Martins;GO;;28/01/2025 00:00:00;89610;339691033528820
28/01/2025 00:28:11;NATURA RN;19284752;17/01/2025 00:00:00;001;59225682;66.87;3;0.28;63625283495;Lucas Gabriel Barbosa;Travessa de Ribeiro, 520;78891-023;3149;do Oeste;27.491.635/0001-95;Silveira e Filhos;3;05/01/2025 00:00:00;Atrasado;664;Entrega Realizada;1;20/03/2025 00:00:00;fugiat;Rua Costela;991;Santa Maria;Alves;PE;;10/03/2025 00:00:00;68213;635831758736495
20/01/2025 03:22:50;AVON;68898279;13/03/2025 00:00:00;001;76864365;355.32;3;3.2;11953011652;Nicole Vieira;Rodovia Azevedo, 52;76481-591;8981;das Pedras;51.270.384/0001-01;da Cunha;2;21/02/2025 00:00:00;Atrasado;411;Entrega Realizada;2;05/03/2025 00:00:00;perspiciatis;Jardim de Pires;713;Vila Antena;Nogueira de Mendes;TO;;11/03/2025 00:00:00;962302;901654651098124
03/02/2025 05:17:00;NATURA CN;52850652;27/02/2025 00:00:00;001;26513635;397.95;1;2.45;71839955095;Vitor Viana;Praia Nunes, 25;11275200;2868;da Serra;64.087.392/0001-50;Duarte Nunes S.A.;3;03/01/2025 00:00:00;Atrasado;743;Entrega Realizada;2;26/03/2025 00:00:00;velit;Favela Alana Nunes;992;Bernadete;Barbosa Paulista;BA;;16/03/2025 00:00:00;789277;660393289237758
17/01/2025 02:33:15;NATURA CN;28361192;05/01/2025 00:00:00;001;2825399;152.38;1;2.42;77573935901;Stephany das Neves;Trevo Nina Ramos, 3;87278-290;7640;Alegre;38.251.790/0001-50;da Mata;2;08/03/2025 00:00:00;Finalizado No Prazo;387;Em Rota;3;04/01/2025 00:00:00;necessitatibus;Estação Cunha;20;Barão Homem De Melo 3ª Seção;Gomes de Pinto;MA;;19/02/2025 00:00:00;588;608867936100945
