Data Inserção;Tipo Entrega;Pedido;Data Nfe;Serie Nfe;Número Nfe;Valor Nfe;Qtd. Volumes;Peso;Remessa;Nome Destinatário;Endereço Completo;CEP;Cód. CD;CD;CNPJ/CPF Dest.;Transportador;Lead Time;Data Prev. Entrega;Status Prazo;ID Últ. Ocr.;Última Ocorrência;Chave Últ. Ocr.;Data Última Ocr.;Agrupador;Endereço;Numero;Bairro;Cidades;UF;Etiquetas;Chegada na Transportadora;Cod. Vendedor;Chave NFe
06/02/2025 12:03:29;NATURA CN;35360824;23/01/2025 00:00:00;001;25076267;361.81;3;2.28;96938197552;Bruna Moraes;Estrada Natália da Paz;13394-815;7557;da Praia;68.314.057/0001-07;da Paz Almeida S/A;7;06/02/2025 00:00:00;No Prazo;317;Entrega Realizada;2;11/03/2025 00:00:00;soluta;Alameda de Sales;58;Atila De Paiva;Rodrigues do Amparo;RJ;;16/03/2025 00:00:00;850846;608003187810501
13/01/2025 08:08:17;NATURA CN;37545093;13/03/2025 00:00:00;001;29237539;111.88;2;3.43;62144220616;Bruno Silva;Viela Porto, 8;74655-409;2947;de Goiás;42.789.031/0001-13;da Conceição;5;14/02/2025 00:00:00;No Prazo;447;Em Rota;1;08/01/2025 00:00:00;expedita;Trecho de Carvalho;654;Guaratã;Fernandes de Barbosa;RR;;12/03/2025 00:00:00;145403;429576149152665
20/03/2025 22:22:29;NATURA CN;68088412;16/02/2025 00:00:00;001;64718124;334.33;3;1.98;74188871047;Isabel Caldeira;Viaduto Silveira, 98;82816-331;1510;Verde;01.372.486/0001-51;Peixoto;5;28/03/2025 00:00:00;No Prazo;233;Em Rota;1;16/02/2025 00:00:00;nemo;Morro Ribeiro;662;Delta;Cardoso;RS;;12/01/2025 00:00:00;948580;565228563573660
04/03/2025 23:36:22;AVON;15413986;17/01/2025 00:00:00;001;45550463;288.17;2;2.17;96600957760;Srta. Caroline Viana;Pátio Castro;12364-347;2127;Paulista;47.853.901/0001-90;da Rosa Teixeira - EI;3;28/01/2025 00:00:00;No Prazo;539;Entrega Realizada;2;18/01/2025 00:00:00;laudantium;Alameda Erick Moura;357;Pantanal;Silveira;DF;;01/02/2025 00:00:00;780387;899669917521367
24/03/2025 01:52:50;AVON;72202737;22/02/2025 00:00:00;001;148206;269.99;3;3.58;41224836229;Luiza Ramos;Praça de Rocha, 59;90891968;2128;do Campo;59.734.286/0001-81;Fernandes;7;03/01/2025 00:00:00;No Prazo;172;Em Rota;3;22/02/2025 00:00:00;voluptate;Residencial Marcelo Gomes;699;Garças;Pires Verde;PI;;24/02/2025 00:00:00;55592;445949217171196
20/01/2025 11:07:13;NATURA RN;89922657;26/02/2025 00:00:00;001;91068230;118.71;1;3.45;45362524838;Ana Beatriz Ribeiro;Parque Gonçalves, 86;90001457;2890;de Minas;48.739.561/0001-33;Pires;6;09/03/2025 00:00:00;Finalizado No Prazo;183;Em Rota;3;07/03/2025 00:00:00;sapiente;Conjunto Leandro Lopes;23;Vila Minaslandia;da Rosa do Amparo;ES;;13/03/2025 00:00:00;862239;904332857128512
24/02/2025 18:10:53;NATURA RN;8897388;17/02/2025 00:00:00;001;40592883;494.79;1;1.53;41448749625;Alexandre Santos;Pátio de Cardoso, 9;96045260;4160;dos Dourados;60.435.871/0001-60;da Mata;3;19/02/2025 00:00:00;Finalizado No Prazo;903;Saiu para Entrega;2;14/02/2025 00:00:00;explicabo;Vereda de Fernandes;622;Caetano Furquim;Porto;AC;;25/01/2025 00:00:00;116054;497454112755352
27/03/2025 15:21:57;NATURA CN;51175390;05/03/2025 00:00:00;001;9963887;498.67;1;4.35;14529490172;Maria Vitória Cardoso;Conjunto de da Cruz, 51;02355602;1366;das Pedras;50.247.683/0001-54;Costa;2;15/02/2025 00:00:00;Finalizado No Prazo;750;Em Rota;1;09/01/2025 00:00:00;velit;Alameda Ana Júlia Vieira;720;Jardim Alvorada;Sales de Oliveira;DF;;26/02/2025 00:00:00;487587;219099495070903
17/01/2025 16:30:25;NATURA CN;29304491;27/02/2025 00:00:00;001;19797670;124.05;3;2.96;14552606267;Alícia Melo;Sítio da Mota;45049-857;2157;do Norte;90.324.658/0001-41;Castro - EI;1;11/03/2025 00:00:00;Finalizado No Prazo;247;Entrega Realizada;1;15/02/2025 00:00:00;dignissimos;Campo de da Cruz;767;São Geraldo;Mendes do Oeste;PI;;21/03/2025 00:00:00;715063;438441208194336
16/02/2025 04:59:55;AVON;8572337;04/01/2025 00:00:00;001;52136170;468.87;2;0.48;3261543653;Ana Julia Farias;Feira Campos, 453;36125114;4853;do Sul;31.409.867/0001-29;Nunes - ME;2;21/01/2025 00:00:00;Finalizado No Prazo;349;Saiu para Entrega;2;31/01/2025 00:00:00;magnam;Lagoa Caroline da Cunha;447;São Benedito;Pires;PR;;17/01/2025 00:00:00;961506;552826728319214
